end_date,break_label,chosen_p,aicc,lb_pvalue
2019-03-01,2007 Q4,3,-485.49655093088546,0.6984717672688628
2019-03-01,2008 Q1,3,-484.49657336594765,0.856614617669149
2019-03-01,2009 Q2,3,-482.241716433083,0.7954243140261837
2019-03-01,2009 Q1,3,-481.9906011960622,0.8997558578656069
2019-03-01,2008 Q2,3,-481.570551468372,0.8565932925263703
2019-03-01,2008 Q4,3,-480.8903450370926,0.9143574766250834
2019-03-01,2008 Q3,3,-480.5575999471444,0.8339267942474163
2019-06-01,2007 Q4,3,-493.0848536953552,0.7030333088768277
2019-06-01,2008 Q1,3,-492.0867375753642,0.8572355203431925
2019-06-01,2009 Q2,3,-489.8805690818327,0.7884683208493994
2019-06-01,2009 Q1,3,-489.6175155171439,0.8961815583459946
2019-06-01,2008 Q2,3,-489.1427981449652,0.8553672455557274
2019-06-01,2008 Q4,3,-488.48408288092526,0.912386586357358
2019-06-01,2008 Q3,3,-488.13067884293,0.8311667719815907
2019-09-01,2007 Q4,3,-499.9321049978712,0.7054356974767108
2019-09-01,2008 Q1,3,-498.9502604858867,0.8585018288984818
2019-09-01,2009 Q2,3,-497.10580829942717,0.774787764243916
2019-09-01,2009 Q1,3,-496.7640529608602,0.8883055722344199
2019-09-01,2008 Q2,3,-496.02685903979386,0.852191223436686
2019-09-01,2008 Q4,3,-495.55591351355895,0.9077402169362402
2019-09-01,2008 Q3,3,-495.12178097908304,0.8243028682297725
